SOC code,Job type,Related job titles
5249,Electrical and electronic trades not elsewhere classified.,Broadcast and communications technicians Overhead line workers Signal workers Electrical and electronic trades not elsewhere classified.
5250,"Skilled metal, electrical and electronic trades supervisors","Skilled metal, electrical and electronic trades supervisors"
5311,Steel erectors,Steel erectors
5312,Stonemasons and related trades,Dry stone wallers Monumental masons Stonemasons Stonemasons and related trades not elsewhere classified.
5313,Bricklayers,Bricklayers
5314,"Roofers, roof tilers and slaters","Felt and flat roofers Sheeters and cladders Thatchers Tilers and slaters Roofers, roof tilers and slaters not elsewhere classified."
5315,Plumbers and heating and ventilating installers and repairers,Plumbers and heating and ventilation installers and repairers
5316,Carpenters and joiners,Bedroom and kitchen fitters Carpenters Joiners Carpenters and joiners not elsewhere classified.
5317,"Glaziers, window fabricators and fitters","Glass cutters and glaziers Window fabricators Window fitters Glaziers, window fabricators and fitters not elsewhere classified."
5319,Construction and building trades not elsewhere classified.,Builders Divers Fence erectors Industrial climbers Remotely Operated Vehicle operators Steel fixers and underpinners Construction and building trades not elsewhere classified.
5321,Plasterers,Dry liners Plasterers
5322,Floorers and wall tilers,Carpet and linoleum fitters Floor layers Tilers Floorers and wall tilers not elsewhere classified.
